day,subject,startTime,endTime
Monday,Mathematics,09:00,10:30
Monday,Break,10:30,11:00
Monday,Physics,11:00,12:30
Monday,Lunch,12:30,13:30
Monday,Chemistry,13:30,15:00
Monday,Break,15:00,15:30
Monday,English,15:30,17:00
Tuesday,History,09:00,10:30
Tuesday,Break,10:30,11:00
Tuesday,Geography,11:00,12:30
Tuesday,Lunch,12:30,13:30
Tuesday,Mathematics,13:30,15:00
Tuesday,Break,15:00,15:30
Tuesday,Biology,15:30,17:00
Wednesday,Physics,09:00,10:30
Wednesday,Break,10:30,11:00
Wednesday,Chemistry,11:00,12:30
Wednesday,Lunch,12:30,13:30
Wednesday,Computer Science,13:30,15:00
Wednesday,Break,15:00,15:30
Wednesday,Psychology,15:30,17:00
Thursday,English,09:00,10:30
Thursday,Break,10:30,11:00
Thursday,Literature,11:00,12:30
Thursday,Lunch,12:30,13:30
Thursday,Mathematics,13:30,15:00
Thursday,Break,15:00,15:30
Thursday,Physics,15:30,17:00
Friday,Biology,09:00,10:30
Friday,Break,10:30,11:00
Friday,Chemistry,11:00,12:30
Friday,Lunch,12:30,13:30
Friday,Revision - Mathematics,13:30,15:00
Friday,Break,15:00,15:30
Friday,Revision - Physics,15:30,17:00
Saturday,Self Study - Mathematics,10:00,12:00
Saturday,Break,12:00,13:00
Saturday,Self Study - Chemistry,13:00,15:00
Saturday,Break,15:00,16:00
Saturday,Self Study - Physics,16:00,18:00
Sunday,Self Study - Biology,10:00,12:00
Sunday,Lunch,12:00,13:00
Sunday,Self Study - English,13:00,15:00
Sunday,Break,15:00,16:00
Sunday,General Revision,16:00,18:00
